agno|grado|cod_reg|nom_reg|prom_lect2m_reg|prom_mate2m_reg|dif_lect2m_reg|dif_mate2m_reg|sigdif_lect2m_reg|sigdif_mate2m_reg|fecha_bbdd|codigo_bbdd
2022|2m|1|Región de Tarapacá|238|244|-10|-14|-1|-1|20220927|final20220927v1
2022|2m|2|Región de Antofagasta|242|246|-6|-11|-1|-1|20220927|final20220927v1
2022|2m|3|Región de Atacama|237|236|-3|-11|0|-1|20220927|final20220927v1
2022|2m|4|Región de Coquimbo|243|248|-7|-13|-1|-1|20220927|final20220927v1
2022|2m|5|Región de Valparaíso|242|248|-8|-15|-1|-1|20220927|final20220927v1
2022|2m|6|Región del Libertador Bernardo O'higgins|240|247|-8|-15|-1|-1|20220927|final20220927v1
2022|2m|7|Región del Maule|244|251|-6|-12|0|-1|20220927|final20220927v1
2022|2m|8|Región del Biobío|241|249|-8|-16|-1|-1|20220927|final20220927v1
2022|2m|9|Región de La Araucanía|239|242|-8|-12|-1|-1|20220927|final20220927v1
2022|2m|10|Región de Los Lagos|242|248|-7|-12|-1|-1|20220927|final20220927v1
2022|2m|11|Región de Aysén del General Carlos Ibañez del Campo|242|248|-2|-15|0|-1|20220927|final20220927v1
2022|2m|12|Región de Magallanes y de la Antártica Chilena|247|250|-5|-12|0|-1|20220927|final20220927v1
2022|2m|13|Región metropolitana de santiago|246|259|-3|-10|0|-1|20220927|final20220927v1
2022|2m|14|Región de los ríos|245|245|-6|-10|-1|-1|20220927|final20220927v1
2022|2m|15|Región de arica y parinacota|246|254|-3|-10|0|-1|20220927|final20220927v1
2022|2m|16|Región de Ñuble|238|251|-10|-10|-1|-1|20220927|final20220927v1
